String Length (l),Initial Detectors (N),Matching Threshold (r),Structural Weight (alpha),Mean Pathogen Fitness,Fitness StdDev,Mean Protein Score,Protein StdDev,Mean Detector Survival Rate
5,500,2,0,0.425,0.089,0.654,0.067,0.342
5,500,2,0.2,0.387,0.076,0.671,0.051,0.358
5,500,2,0.5,0.298,0.094,0.721,0.089,0.401
5,500,2,0.8,0.156,0.067,0.789,0.043,0.445
5,500,2,1,0.089,0.034,0.812,0.028,0.478
10,500,3,0,0.512,0.102,0.543,0.078,0.289
10,500,3,0.2,0.467,0.085,0.612,0.067,0.312
10,2000,8,1,0.012,0.008,0.834,0.012,0.856
